1676	1951	1155	
1194	1365	1212	
1128	1641	1839	
1430	1384	1055	
984	832	1919	
1144	571	264	
1377	779	1529	
1980	9	1741	
342	1651	1761	
1728	46	1164	
600	1462	635	
1930	1608	442	
1716	1622	1573	
1579	936	892	
896	1043	511	
1624	274	1578	
451	1719	1137	
515	530	889	
1793	1299	946	
948	430	1059	
48	1855	1297	
938	1588	1041	
1300	833	1392	
1298	1955	1260	
344	1233	967	
1844	486	771	
1172	616	1225	
336	1215	1571	
301	1	46	
931	982	571	
366	1266	99	
1180	882	1934	
1397	676	1762	
1085	18	622	
1089	1312	1652	
1765	1702	1207	
1188	1209	1061	
1868	436	1637	
448	458	1008	
1385	1963	33	
22	1525	305	
1859	1283	1486	
1118	473	998	
1519	947	579	
1092	785	1356	
1232	275	1084	
433	1280	1669	
1850	1865	1497	
1125	713	1945	
1745	561	20	
1880	1170	1240	
709	1806	1367	
1313	629	1700	
690	889	1062	
1846	1480	603	
1431	783	1361	
449	1032	293	
1687	1049	1735	
1701	554	124	
1317	525	1452	
1173	595	761	
1921	703	681	
446	891	609	
647	300	1508	
1187	967	265	
969	1758	1134	
721	1948	619	
1455	1874	1389	
1389	1094	1455	
1052	1253	1100	
1019	1772	1351	
608	1688	1181	
1229	192	328	
98	1730	572	
896	913	995	
604	270	570	
905	794	923	
29	389	44	
41	1910	101	
28	626	1798	
1345	994	1740	
431	749	544	
933	286	1412	
1119	1177	1267	
44	827	29	
1481	459	568	
1771	618	1133	
1349	1745	20	
671	106	1882	
1307	1740	477	
303	614	1771	
1488	1191	623	
48	1601	1357	
855	1566	1279	
1432	1977	540	
299	452	582	
317	1553	645	
1916	676	1013	
51	244	1782	
1340	1801	1288	
1251	692	1841	
585	854	376	
53	910	327	
765	487	204	
54	856	625	
1152	841	1536	
55	1796	1169	
1024	1592	687	
1581	1082	1358	
908	1376	919	
57	1145	1098	
1165	1520	1421	
1123	903	815	
1307	1399	1221	
610	1277	1583	
548	1856	1616	
1002	1949	1960	
659	496	1017	
773	925	295	
330	1976	1007	
62	894	538	
16	1006	1127	
1890	1667	1612	
953	1962	3	
64	1158	1628	
587	1216	1230	
1799	1822	1690	
1797	1605	1323	
66	1785	1811	
1202	287	1445	
67	542	1547	
1315	1372	1893	
68	1280	1322	
562	1693	1663	
69	665	1311	
1272	581	1368	
1395	576	957	
1767	1539	1577	
71	148	1110	
1288	1042	0	
142	267	971	
30	604	570	
73	1331	1834	
694	1250	1378	
74	663	1652	
1957	777	1182	
593	735	725	
876	670	75	
912	962	53	
371	170	723	
271	678	153	
608	575	1104	
780	748	258	
304	78	1603	
861	1044	894	
757	760	136	
80	1703	1658	
1343	1923	1178	
1493	738	672	
1101	1992	806	
725	42	280	
1414	1872	461	
83	1787	1219	
47	1476	1132	
1257	1350	435	
398	1031	359	
85	401	1540	
1836	1470	1292	
1245	358	589	
57	744	1145	
1069	1334	470	
43	1564	940	
88	1953	1118	
1427	714	915	
1079	89	852	
1436	1442	1106	
699	1163	1119	
1429	1154	1751	
91	1286	52	
329	319	750	
92	696	918	
1496	398	359	
875	231	1413	
1648	93	862	
999	1379	1439	
1935	94	1220	
1683	754	769	
729	1265	1678	
1252	1176	1753	
1205	1087	1644	
97	740	1982	
413	97	1929	
98	1291	38	
1814	811	1327	
1646	656	1555	
688	1986	456	
837	1447	1854	
1328	100	288	
1914	1629	12	
505	1465	768	
867	1358	1942	
636	1913	1958	
103	940	557	
878	622	18	
1235	252	58	
809	1440	1045	
105	1398	653	
327	910	492	
1141	1275	1987	
1784	680	306	
334	1344	1320	
1621	1077	590	
952	1603	759	
1849	1143	1400	
978	1832	875	
1572	928	1613	
778	52	1286	
954	462	966	
111	1950	1574	
1800	823	1024	
1591	419	1627	
863	1668	1926	
971	736	543	
625	960	487	
114	916	807	
1692	1556	1057	
1438	1786	772	
1537	1794	177	
116	432	880	
1546	1314	1944	
1851	1071	1374	
423	497	902	
1809	368	460	
1967	895	1529	
119	1596	277	
762	1543	26	
945	1606	836	
610	1363	1277	
121	1008	458	
987	1021	941	
122	407	1871	
709	346	1806	
1440	1927	1045	
869	490	1021	
1943	1701	1063	
1011	1359	512	
125	1643	1905	
1769	1664	1558	
1218	849	821	
1647	1390	1271	
1976	1944	1314	
1602	1653	1867	
1172	508	616	
944	1899	37	
1037	1681	65	
1199	129	1094	
130	1059	1878	
65	1284	1037	
1954	1804	834	
67	1731	542	
132	1622	808	
665	1802	1852	
1908	1134	1559	
1053	1547	1456	
134	1123	375	
284	1791	1038	
1590	268	1484	
1645	135	531	
136	1064	79	
1040	996	726	
1062	536	1085	
1075	550	72	
504	518	271	
1401	516	1035	
1599	1561	653	
1386	1754	1262	
140	1609	1875	
739	1609	395	
141	705	603	
85	1593	401	
142	331	550	
1040	511	1043	
143	1952	1788	
290	1760	1722	
1611	1867	1653	
70	1539	1767	
315	884	182	
1644	145	1223	
146	1983	1945	
298	1634	1331	
1677	556	567	
1463	549	1247	
1509	1780	1036	
1657	148	71	
149	1516	1362	
1966	1907	1422	
150	617	68	
17	282	32	
1417	1405	1096	
1656	1872	1414	
354	547	1835	
1710	1186	78	
1230	1912	1704	
1352	678	77	
